topic_id	topic_title	basesubtopic_title	basesubtopic_id
4217	Early Number (order and place value)	Bigger or smaller (Investigation) LIVE	4294
4217	Early Number (order and place value)	Identifying the value of the digits in numbers (Investigation) LIVE	4295
4217	Early Number (order and place value)	Build and name numbers to 500	3439
4217	Early Number (order and place value)	Read and write numbers up to 1000 using words and symbols	2791
4217	Early Number (order and place value)	Read and write numbers from 1000 to 10000 using words and symbols	2798
4217	Early Number (order and place value)	Read and write numbers from 10000 to 50000 using words and symbols	2799
4217	Early Number (order and place value)	Read and write numbers from 50000 to 90000 using words and symbols	2800
4217	Early Number (order and place value)	Read and write numbers from 90000 to 900000 using words and symbols	2792
4217	Early Number (order and place value)	Read and write numbers in the millions using words and symbols	2802
4217	Early Number (order and place value)	Read and write numbers in billions using words and symbols	3229
4217	Early Number (order and place value)	Read and write numbers - mixed set 3439, 2791, 2798, 2799	8421
4217	Early Number (order and place value)	Read and write numbers - mixed set 2798, 2799, 2800	8422
4217	Early Number (order and place value)	Read and write numbers - mixed set 2799, 2800, 2792, 2802	8423
4217	Early Number (order and place value)	Read and write numbers - mixed set 2799, 2800, 2792, 2802, 3229	8424
4217	Early Number (order and place value)	Order numbers to 1000	2804
4217	Early Number (order and place value)	Order numbers from 1000 to 10000	2805
4217	Early Number (order and place value)	Order numbers from 10000 to 50000	2806
4217	Early Number (order and place value)	Order numbers from 50000 to 90000	267
4217	Early Number (order and place value)	Order numbers from 90000 to million	2793
4217	Early Number (order and place value)	Order numbers (billions)	3230
4217	Early Number (order and place value)	Compare numbers to 10000	3682
4217	Early Number (order and place value)	Compare numbers from 10000 to 90000	2822
4217	Early Number (order and place value)	Compare numbers from 90000 to millions	2823
4217	Early Number (order and place value)	Compare numbers (billions)	3234
4217	Early Number (order and place value)	Order and compare numbers - mixed set 2804, 2805, 2806	8425
4217	Early Number (order and place value)	Order and compare numbers - mixed set 2805, 2806, 267, 3682, 2822	8426
4217	Early Number (order and place value)	Order and compare numbers - mixed set 2806, 267, 3682, 2822, 2793, 2823	8427
4217	Early Number (order and place value)	Order and compare numbers - mixed set 267, 3682, 2822, 2793, 2823, 3230, 3234	8428
4217	Early Number (order and place value)	Partition numbers to 1000	2809
4217	Early Number (order and place value)	Partition numbers from 1000 to 10000	2810
4217	Early Number (order and place value)	Partition numbers from 10000 to 50000	2811
4217	Early Number (order and place value)	Partition numbers from 50000 to 90000	2812
4217	Early Number (order and place value)	Partition numbers from 90000 to million	2813
4217	Early Number (order and place value)	Partition numbers (billions)	3231
4217	Early Number (order and place value)	Construct numbers to 1000	3838
4217	Early Number (order and place value)	Construct numbers from 1000 to 10000	3839
4217	Early Number (order and place value)	Construct numbers from 10000 to 50000	2818
4217	Early Number (order and place value)	Construct numbers from 50000 to 90000	2819
4217	Early Number (order and place value)	Construct numbers from 90000 to millions	2820
4217	Early Number (order and place value)	Construct numbers (billions)	3233
4217	Early Number (order and place value)	Partition and construct numbers - mixed set 2809, 2810, 2811, 3838, 3839, 2818	8429
4217	Early Number (order and place value)	Partition and construct numbers - mixed set 2811, 2818, 2812, 2819	8430
4217	Early Number (order and place value)	Partition and construct numbers - mixed set 2811, 2818, 2812, 2819, 2813, 2820	8431
4217	Early Number (order and place value)	Partition and construct numbers - mixed set 2812, 2819, 2813, 2820, 3231, 3233	8432
4217	Early Number (order and place value)	Identify odd and even numbers	2808
4217	Early Number (order and place value)	Use the properties of odd and even numbers	107
4217	Early Number (order and place value)	Odd and even numbers - mixed set 2808, 107	8433
4217	Early Number (order and place value)	Round numbers <1000 to nearest 10 or 100	2815
4217	Early Number (order and place value)	Round numbers <100 000 to nearest 1000	3232
4217	Early Number (order and place value)	Round large numbers	2816
4217	Early Number (order and place value)	Round numbers	8434
4217	Early Number (order and place value)	Write numbers using expanded notation and expanded form	179
4217	Early Number (order and place value)	Write numbers using expanded notation as powers of 10	3821
4217	Early Number (order and place value)	Making Numbers with Number Cards (Investigation) LIVE	4297
4217	Early Number (order and place value)	Puzzle using place value of numbers in the millions (Investigation) LIVE	4298
4217	Early Number (order and place value)	Estimating Objects (Investigation) LIVE	4296
4217	Early Number (order and place value)	Leading digit estimation (Yr 5)	697
4217	Early Number (order and place value)	TBD - Place Value (Yr 4)	113
4218	Early Number (add/sub)	Fact Families (Investigation) LIVE	4401
4218	Early Number (add/sub)	Add and subtract single digit numbers	2789
4218	Early Number (add/sub)	Use and complete fact families for addition and subtraction (a+b=c, c-b=a)	2797
4218	Early Number (add/sub)	Interpret and use the representation of addition and subtraction with objects	2825
