topic_id,topic_title,topic_order,subtopic_id,subtopic_title,basesubtopic_title,basesubtopic_id,subtopic_order,basesubtopic_outcomes,subtopic_reason_for_inclusion,lantern_substrand_title,Strand
5214,Early Number (order and place value),1,72797,Build and name numbers (to 500),Build and name numbers to 500,3439,5,,,,Number
5214,Early Number (order and place value),1,69544,"Numbers, words and symbols (to 1000)",Read and write numbers up to 1000 using words and symbols,2791,10,,,,Number
5214,Early Number (order and place value),1,69546,Order numbers (to 1000),Order numbers to 1000,2804,30,,,,Number
5214,Early Number (order and place value),1,103235,Bigger or smaller (investigation),Bigger or smaller (Investigation) LIVE,4294,40,,,,Number
5214,Early Number (order and place value),1,69548,Partition numbers (to 1000),Partition numbers to 1000,2809,50,,,,Number
5214,Early Number (order and place value),1,85847,Construct numbers (to 1000),Construct numbers to 1000,3838,52,,,,Number
5214,Early Number (order and place value),1,69545,"Numbers, words and symbols (1000 to 10000)",Read and write numbers from 1000 to 10000 using words and symbols,2798,54,,,,Number
5214,Early Number (order and place value),1,69547,Order numbers (1000 to 10000),Order numbers from 1000 to 10000,2805,56,,,,Number
5214,Early Number (order and place value),1,69549,Partition numbers (1000 to 10000),Partition numbers from 1000 to 10000,2810,60,,,,Number
5214,Early Number (order and place value),1,85848,Construct numbers (1000 to 10000),Construct numbers from 1000 to 10000,3839,65,,,,Number
5214,Early Number (order and place value),1,69550,"Numbers, words and symbols (10000 to 50000)",Read and write numbers from 10000 to 50000 using words and symbols,2799,70,,,,Number
5214,Early Number (order and place value),1,69551,Order numbers (10000 to 50000),Order numbers from 10000 to 50000,2806,80,,,,Number
5214,Early Number (order and place value),1,69553,Partition numbers (10000 to 50000),Partition numbers from 10000 to 50000,2811,100,,,,Number
5214,Early Number (order and place value),1,69554,Construct numbers (10000 to 50000),Construct numbers from 10000 to 50000,2818,110,,,,Number
5214,Early Number (order and place value),1,69552,Identify odd and even numbers,Identify odd and even numbers,2808,115,,,,Number
5214,Early Number (order and place value),1,69555,"Numbers, words and symbols (50000 to 90000)",Read and write numbers from 50000 to 90000 using words and symbols,2800,120,,,,Number
5214,Early Number (order and place value),1,50567,Order numbers (50000 to 90000),Order numbers from 50000 to 90000,267,140,,,,Number
5214,Early Number (order and place value),1,69558,Partition numbers (50000 to 90000),Partition numbers from 50000 to 90000,2812,150,,,,Number
5214,Early Number (order and place value),1,69561,Construct numbers (50000 to 90000),Construct numbers from 50000 to 90000,2819,155,,,,Number
5214,Early Number (order and place value),1,50600,Properties of odd and even numbers,Use the properties of odd and even numbers,107,160,,,,Number
5214,Early Number (order and place value),1,50565,Place value,TBD - Place Value (Yr 4),113,190,,,,Number
5214,Early Number (order and place value),1,50566,Expanded notation and expanded form,Write numbers using expanded notation and expanded form,179,200,,,,Number
5214,Early Number (order and place value),1,103236,Identifying the value of the digits in numbers (investigation),Identifying the value of the digits in numbers (Investigation) LIVE,4295,210,,,,Number
